TLC5947 Pin,TD Pin 1 (CA1),TD Pin 2 (CA2),TD Pin 3 (CA3),TD Pin  4 (CA4),Digit Groupings,FPC Pin,
0,-,F6,-,F5,Humidity,5,
1,-,G6,-,G5,Humidity,6,
2,-,A6,-,A5,Humidity,7,
3,-,-,-,%RH,Humidity,8,
4,-,D6,-,D5,Humidity,9,
5,-,B6,-,B5,Humidity,10,
6,-,E6,-,E5,Humidity,11,
7,-,C6,-,C5,Humidity,12,
8,A2,A4,A1,A3,Main Clock,13,
9,B2,B4,B1,B3,Main Clock,14,
10,F2,F4,F1,F3,Main Clock,15,
11,-,UpperDot4,AM/PM,Colon,Main Clock,16,
12,C8,C10,C7,C9,Temperature,28,
13,E8,E10,E7,E9,Temperature,27,
14,B8,B10,B7,B9,Temperature,26,
15,D8,D10,D7,D9,Temperature,25,
16,-,DegreesDot10,DegreesDot7,Decimal,Temperature,24,
17,A8,A10,A7,A9,Temperature,23,
18,G8,G10,G7,G9,Temperature,22,
19,F8,F10,F7,F9,Temperature,21,
20,C2,C4,C1,C3,Main Clock,20,
21,D2,D4,D1,D3,Main Clock,19,
22,G2,G4,G1,G3,Main Clock,18,
23,E2,E4,E1,E3,Main Clock,17,
